"","county","maj_re","maj_units_rented","pct_no_internet","med_incomeE","avg_hh_sizeE"
"1","Alameda","nh_asian",FALSE,0,44375,3.65
"2","Alameda","nh_white",FALSE,0.0139240506329114,94732,2.63
"3","Alameda","no_maj_re",FALSE,0.0750883392226148,40281,3.31
"4","Alameda","no_maj_re",FALSE,0.0275633958103638,61599,2.91
"5","Alameda","no_maj_re",TRUE,0.105930470347648,54400,2.44
"6","Alameda","nh_white",FALSE,0.0635005336179296,63979,2.12
"7","Alameda","no_maj_re",TRUE,0.0321384425216316,42691,2.13
"8","Alameda","no_maj_re",TRUE,0.161420500403551,20044,3.53
"9","Alameda","nh_white",FALSE,0.0246723207401696,83750,2.4
"10","Alameda","no_maj_re",TRUE,0.120541205412054,36841,2.3
"11","Alameda","no_maj_re",TRUE,0.164411644116441,37117,2.45
"12","Alameda","no_maj_re",TRUE,0.104262968669748,33584,2.62
"13","Alameda","no_maj_re",TRUE,0.108504398826979,36288,2.7
"14","Alameda","no_maj_re",TRUE,0.225806451612903,22908,1.47
"15","Alameda","no_maj_re",TRUE,0.139656982849142,47358,1.61
"16","Alameda","nh_white",FALSE,0.0263452914798206,69524,2.63
"17","Alameda","no_maj_re",TRUE,0.193569993302076,22344,3.22
"18","Alameda","no_maj_re",FALSE,0.113989637305699,47357,2.59
"19","Alameda","no_maj_re",FALSE,0.128137384412153,21203,2.5
"20","Alameda","nh_white",FALSE,0.0376237623762376,63125,2.26
"21","Alameda","nh_white",TRUE,0.0481064483111566,43750,2.57
"22","Alameda","no_maj_re",TRUE,0.21832884097035,30437,2.4
"23","Alameda","no_maj_re",FALSE,0.023943661971831,57222,2.57
"24","Alameda","no_maj_re",TRUE,0.0511590727418066,59200,2.63
"25","Alameda","nh_white",FALSE,0.0146310432569975,77796,2.34
"26","Alameda","nh_white",FALSE,0.0690690690690691,54010,2.41
"27","Alameda","nh_white",TRUE,0.038562091503268,47045,2.18
"28","Alameda","no_maj_re",FALSE,0.0914804469273743,36671,3.42
"29","Alameda","no_maj_re",FALSE,0.168234643054787,34947,3.4
